21:34 23-10-2024 - POST - / - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"d60c020f-4424-43a3-81de-b6dec8f487e1","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"286"}
21:37 23-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"c37458b5-9f53-4504-a787-50cf771e00a9","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
21:38 23-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"746b5d57-edff-4a55-a846-ff01f9934e48","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"46"}
21:40 23-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"7205a492-6d2f-407f-807a-1200a99fcd22","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
21:42 23-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"129684a6-766a-4c52-8e3c-37cce1a73903","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
21:43 23-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"320e1a20-927a-47cc-82be-f8366fe7962e","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
21:44 23-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"e3a084b5-bfe0-4328-93b3-05f74eeb0085","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
21:45 23-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"f394c0df-880b-480b-9284-39c0ea6bb4e7","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
19:19 30-10-2024 - GET - /?filterby=nombre&filterValue=guitarra&limit=1 - {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"bcfd1198-06a0-4f31-96a1-3717f91190b5","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
19:26 30-10-2024 - GET - /?flimit=2 - {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"5d84902f-908a-40fa-af7c-218b37f4cea1","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
19:27 30-10-2024 - GET - /?limit=2 - {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"3f2746f4-36d2-475e-8c70-509ca67cb9b7","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
19:41 30-10-2024 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"f7cca08d-c06c-4863-ae1a-f82b0377bb6e","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
30-10-2024 20:00:43 - PUT - /updall - {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","postman-token":"23c579fe-2b1e-4984-a9c9-01a7245029d7","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"43"}
